"GUID","Index","Name","Description","Category","Productivity","Risk","SoftwareFlags","Reference","PluginName"
"ADNSTRM",748,"adnStream","General site browsing and streaming media from Spanish video streaming site adnStream","Streaming Media",1,3,0,"","sites"
"ADOBANAL",1114,"Adobe Analytics","Traffic going to Adobe Analytics websites such as scene7.com, demdex.net, omtrdc.net, and 2o7.net.","Web Services",5,1,0,"","sites"
"ADOBE",550,"Adobe","Adobe, Adobe Connect and Adobe Updates","Web Services",3,1,0,"","adobe"
"ADOBECC",1324,"Adobe Creative Cloud","The traffic consists of data from browsing, login and logout of Adobe Creative Cloud websites.","Web Services",3,1,0,"","adobe"
"ADOMETRY",948,"Adometry","Traffic generated by web sites using Adometry to generate ads.","Web Services",4,1,0,"","sites"
"ADOTUBE",1149,"Ado Tube","In-stream video traffic from advertising company Ado tube","Web Services",4,1,0,"","sites"
"ADP",1334,"ADP LLC sites","Traffic consists of general browsing data generated by ADP LLC's websites.","Web Services",5,1,0,"","sites"
"ADPGLBVW",1338,"ADP GlobalView","Traffic consists of general browsing data generated by ADP's GlobalView website.","Web Services",5,1,0,"","sites"
"ADPRESRC",1339,"ADP Resource","Traffic consists of general browsing data generated by ADP's Resource website.","Web Services",5,1,0,"","sites"
"ADPSTRML",1340,"ADP Streamline","Traffic consists of general browsing data generated by ADP's Streamline website.","Web Services",5,1,0,"","sites"
"ADPTTSRC",1336,"ADP TotalSource","Traffic consists of general browsing data generated by ADP's TotalSource website.","Web Services",5,1,0,"","sites"
"ADPVNTAG",1337,"ADP Vantage","Traffic consists of general browsing data generated by ADP's Vantage website.","Web Services",5,1,0,"","sites"
"ADPWRKFC",1335,"ADP Workforce Now","Traffic consists of general browsing data generated by ADP's Workforce Now website.","Web Services",5,1,0,"","sites"
"ADREADY",881,"Adready","Traffic generated by web sites using Adready to generate ads.","Web Services",4,1,0,"","sites"
"ADRIVE",659,"Adrive.com","An online cloud storage service","Web Services",3,3,0,"","sites"
"ADROLL",1141,"AdRoll","Embedded ad traffic from advertisement retargeting company Adroll","Web Services",3,1,0,"","sites"
"ADSAGE",874,"Adsage","Traffic generated by web sites using Adsage to generate ads.","Web Services",4,1,0,"","sites"
"ADSAME",1145,"AdSame","Internet advertising content through Chinese digital marketing company AdSame","Web Services",4,1,0,"","sites"
"ADTECH",891,"ADTECH","Traffic generated from web sites using ADTECH to generate ads","Web Services",4,1,0,"","sites"
"ADTEGRTY",971,"Adtegrity","Traffic generated by web sites using Adtegrity to generate ads","Web Services",4,1,0,"","sites"
"ADVERTIS",883,"Advertising","Traffic generated by browsing websites that host their ads using advertise.com","Web Services",2,1,0,"","sites"
"ADXPOSE",931,"AdXpose","Traffic generated by web sites using AdXpose to generate ads","Web Services",4,1,0,"","sites"
"ADXTRACK",1148,"AD-X Tracking","Application tracking and attributes data from analytics provider AD-X Tracking","Web Services",4,1,0,"","sites"
"AD_BKUP",522,"AD Backup","Microsoft Active Directory Backup Service.","Networking",5,1,0,"","ad"
"AD_DRS",526,"AD DRS","Microsoft Active Directory Replication Services.","Networking",5,1,0,"","ad"
"AD_DSAOP",525,"AD DSAOP","Active Directory DSAOP services","Networking",5,2,0,"","ad"
"AD_DSROL",524,"AD DSROL","Microsoft Active Directory Domain Services helps administrators securely manage users, computers, and other devices on the network and facilitates resource sharing and collaboration between users.","Networking",5,1,0,"","ad"
"AD_FRS",527,"AD File Replication","Microsoft Active Directory File Replication Services used to replicate files and changes between domain controllers","Networking",5,2,0,"","ad"
"AD_NSP",529,"AD NSP","Microsoft Active Directory Name Service Provider","Networking",5,1,0,"","ad"
"AD_RSTOR",523,"AD Restore","Microsoft Active Directory Restore Service.","Networking",5,1,0,"","ad"
"AD_XDS",528,"AD XDS","Microsoft Active Directory Extended Directory Service allows AD to be extended to store custom data that is of interest for the enterprise.","Networking",5,1,0,"","ad"
"AED512",141,"AED512","AED 512 Emulation Service","Networking",3,1,0,"","portmap"
"AFP",327,"AFP","A network protocol that offers file services for Mac OS X and original Mac OS. In Mac OS X, AFP is one of several file services supported including Server Message Block (SMB), Network File System (NFS), File Transfer Protocol (FTP), and WebDAV. AFP currently supports Unicode file names, POSIX and access control list permissions, resource forks, named extended attributes, and advanced file locking","File Transfer",3,1,0,"","portmap"
"AFREECA",728,"AfreecaTV","General browsing and streaming media from the television streaming service AfreecaTV","Streaming Media",1,4,0,"","sites"
"AFTSCHOL",1419,"After School","Messaging and content sharing associated with the After School mobile app used for anonymous communication within local schools.","Social Networking",1,2,0,"","sites"
"AGGRKNOW",940,"Aggregate Knowledge","Traffic generated by web sites using Aggregate Knowledge to generate ads","Web Services",4,1,0,"","sites"
"AH",27,"AH","AH (Authentication Header) is a member of the IPsec protocol suite, guaranteeing connectionless integrity and data origin authentication of IP packets.","VPN and Tunneling",3,1,0,"","ip"
"AIZHAN",660,"Aizhan.com","Aizhan.com is a Chinese website that assists webmasters","Web Services",3,1,0,"","sites"
"AKAMAI",830,"Akamai","Traffic generated by browsing web pages that host their media with Akamai.","Web Services",2,1,0,"","akamai"
"AKAMAINS",831,"Akamai NetSession","Traffic generated by Akamai NetSession interface app that handles downloads of files from services that use it.","File Transfer",2,2,0,"","akamai"
"ALIAS",380,"Alias","Port 1187/tcp and 1187/udp","Networking",3,1,0,"","portmap"
"ALIBABA",778,"Alibaba","Traffic generated by browsing, using the search options and viewing prices on the website Alibaba.com","Web Services",5,1,0,"","aliwangwang,sites"
"ALIPAY",1208,"Alipay.com","Traffic generated by browsing the Alipay website and from online payments using Alipay.","Web Services",3,1,0,"","sites"
"ALIWW",1050,"Aliwangwang","Traffic generated by using the Aliwangwang instant messaging application.","Messaging",3,2,0,"","aliwangwang"
"ALIYUN",782,"Aliyun.com","General browsing and interaction on the Chinese site aliyun.com","Web Services",3,1,0,"","sites"
"ALLEGRO",1136,"Allegro.pl","Traffic generated by browsing and shopping on allegro.pl.","Web Services",2,1,0,"","sites"
"AMAZON",471,"Amazon","Traffic generated by using amazon online retail service","Web Services",2,1,0,"","amazon"
"AMAZONIV",1264,"Amazon instant video","Traffic generated by using amazon instant video services","Streaming Media",3,3,0,"","amazon"
"AMAZONUB",1265,"Amazon Unbox","Traffic generated by using amazon unbox","Streaming Media",3,1,0,"","amazon"
"AMAZONWS",799,"Amazon Web Services","Traffic generated by accessing media that is hosted in the Amazon Cloud","Web Services",5,2,0,"","amazon"
"AMEBA",1005,"ameba","Traffic generated by general browsing and game playing on ameba sites.","Web Services",1,1,0,"","sites"
"AMOBEE",892,"Amobee","Advertisement traffic to and from amobee.com","Web Services",1,1,0,"","sites"
"AMQP",425,"AMQP","Advanced Message Queueing Protocol (AMQP) is an application layer protocol which supports business message communication between applications or organizations","Networking",5,1,0,"","amqp,portmap"
"AMQPS",424,"Secure AMQP","Advanced Message Queueing Protocol (AMQP) is an application layer protocol which supports business message communication between applications or organizations","Networking",5,1,0,"","portmap"
"ANDROID",840,"Android","Traffic generated by general browsing on Android website.","Web Services",3,1,0,"","google"
"ANET",187,"ANET","ATEXSSTR","Networking",3,1,0,"","portmap"
"ANSANTFY",113,"ANSA Notify","Protocol for service type ANSA REX Notify registered with IANA on Port 116 tcp/udp","Networking",3,1,0,"","portmap"
"ANSATRDR",121,"ANSA REX Trader","Protocol for service type ANSA REX Trader registered with IANA on Port 124 tcp/udp","Networking",3,1,0,"","portmap"
"ANSWERS",634,"Answers.com","Internet-based knowledge exchange","Web Services",3,1,0,"","sites"
"AOLADS",972,"AOL Ads","Advertising traffic to and from advertising.aol.com","Web Services",3,1,0,"","sites"
"AOL_IM",494,"AIM","AIM is an instant messaging and presence application that enables users to conduct person-to-person instant messaging, chatroom messaging, peer-to-peer file sharing and facebook support, among other features.","Messaging",3,5,0,"","icq"
"APNS",626,"APNS","A service that Apple uses to open a constantly open IP connection to forward notifications from its servers to Apple devices","Messaging",3,2,0,"","apple"
"APPGLU",1441,"AppGlu","Web traffic generated by using AppGlu's app management service, accessing AppGlu's APIs, and browsing AppGlu's website.","Web Services",4,1,0,"","sites"
"APPLARP",7,"Apple ARP","Apple's system to allow AppleTalk protocol to work over networks other than LocalTalk, such as Ethernet or Token Ring.","Networking",3,1,0,"","nonip"
"APPLE",628,"Apple","Apple website and host/network services traffic","Networking",3,2,0,"","apple"
"APPLEMAP",771,"Apple Maps","Traffic generated by browsing and searching locations and getting directions on Apple's online mapping service Apple Maps","Web Services",3,1,0,"","apple"
"APPLEMUS",1443,"Apple Music","Audio data streamed from Apple's Music service via mobile apps or iTunes.","Streaming Media",1,2,0,"","apple"
"APPLEUPD",576,"Apple Update","A software tool by Apple Computer that installs the latest version of Apple software.","File Transfer",3,2,0,"","apple"
"APPLGUI",602,"Applejuice GUI","Represents the traffic between a host running an Applejuice GUI and a host running the Applejuice Core","File Transfer",1,3,0,"","applejuice"
"APPLJUCE",601,"Applejuice","Applejuice is a semi-centralized peer-to-peer file sharing network similar to the original eDonkey network.","File Transfer",1,5,0,"","applejuice"
"APPLSHAR",227,"AppleShare","AppleShare IP WebAdmin","Networking",3,1,0,"","portmap"
"APPLTALK",183,"AppleTalk","A proprietary suite of protocols developed by Apple Inc. for networking computers.","Networking",3,1,0,"","nonip,portmap"
"APPNETA",1243,"AppNeta","Using AppNeta devices on the network.","Network Monitoring",5,1,0,"","appneta"
"APPNEXUS",810,"AppNexus","Traffic generated by browsing websites that host advertisements using AppNexus.","Web Services",1,1,0,"","sites"
"APTEAN",975,"Aptean","Traffic related to Aptean suite of enterprise software","Web Services",3,1,0,"","sites"
"ARCHIVE",729,"The Internet Archive","General browsing, audio and video streaming, blogging, text and software downloads from the Internet Archive website","Web Services",3,1,0,"","sites"
"ARCISDMS",209,"ARCISDMS","Protocol for service type Arcisdms registered with IANA on Port 262 tcp/udp","Networking",3,1,0,"","portmap"
"ARES",761,"Ares","General browsing, interactions, and file transfers on the open source peer-to-peer file sharing application Ares Galaxy.","File Transfer",1,2,0,"","ares"
"ARIEL",303,"Ariel","Traffic generated by using commercially available hardware and Ariel software for Windows from Infotrieve, scanning documents, and file transferring to other Ariel workstations over either FTP or e-mail.","Networking",3,3,0,"","portmap"
"ARNS",273,"ARNS","Protocol for service type A Remote Network Server registered with IANA on Port 384 tcp/udp","Networking",3,1,0,"","portmap"
"ARP",5,"ARP","A computer networking protocol for determining a network host's Link Layer or hardware address when only its Internet Layer (IP) or Network Layer address is known.","Networking",3,1,0,"","arp"
"ASA",275,"ASA","Protocol for service type ASA Message Router Object Def. registered with IANA on Port 386 tcp/udp","Networking",3,1,0,"","portmap"
"ASANA",1363,"Asana","Traffic generated by general browsing, login, and logoff on asana.com website.","Web Services",4,2,0,"","sites"
"ASK",1023,"Ask.com","General browsing and interaction on question answering search engine Ask.com","Web Services",2,1,0,"","sites"
"ASTRAWEB",456,"Astraweb","A Usenet/newsgroup service provider.","File Transfer",1,4,0,"","nntp"
"ATLASSOL",822,"Atlas Solutions","Traffic generated by browsing web content that uses Atlas Solutions for hosting ads and other media.","Web Services",1,2,0,"","sites"
"ATMFATE",16,"ATM FATE","Frame-based ATM Transport over Ethernet","Networking",3,1,0,"","nonip"
"ATMMPOA",15,"ATM MPOA","Multi-protocol over ATM","Networking",3,1,0,"","nonip"
"ATOM",571,"Atom","Atom is a web content syndication system similar to RSS.","Web Services",3,1,0,"","feeds"
"AUDIT",168,"AUDIT","Protocol for service type Unisys Audit SITP registered with IANA on Port 182 tcp/udp","Networking",3,1,0,"","portmap"
"AUDITD",60,"Auditd","Protocol for service type Digital Audit Daemon registered with IANA on Port 48 tcp/udp","Networking",3,1,0,"","portmap"
"AUDSCIEN",836,"AudienceScience","Traffic generated by browsing websites that use AudienceScience to host advertisements.","Web Services",1,1,0,"","sites"
"AURORA",258,"Aurora","A link layer communications protocol for use on point-to-point serial links. Developed by Xilinx, it is intended for use in high-speed (tens of gigabits/second or more) connections internally in a computer.","Networking",3,1,0,"","portmap"
"AUTODESK",1315,"Autodesk","Traffic generated by browsing Autodesk website.","Web Services",4,1,0,"","sites"
"AUTOHOME",1137,"Autohome.com.cn","Traffic generated by reading articles on autohome.com.cn","Web Services",2,1,0,"","sites"
"AVAST",1205,"Avast.com","Traffic generated by browsing Avast.com official website of Avast! Antivirus downloads.","Web Services",5,1,0,"","sites"
"AVAYA",1392,"Avaya","Audio, video, and instant messaging traffic generated by devices connecting to Avaya platforms","Collaboration",4,2,0,"","avaya"
"AVAYAAUD",1393,"Avaya Audio","Avaya audio traffic","Collaboration",4,2,0,"","avaya"
"AVAYAVID",1394,"Avaya Video","Avaya video traffic","Collaboration",4,2,0,"","avaya"
"AVCTPRXY",356,"Avocent","Protocol for service type Avocent Proxy Protocol registered with IANA on Port 1078 tcp/udp","Proxy",3,1,0,"","portmap"
"AVG",542,"AVG","AVG Antivirus/Security software download and updates.","File Transfer",4,1,0,"","avsecurity"
"AVIRA",543,"Avira","Avira Antivirus/Security software download and updates.","File Transfer",4,1,0,"","avsecurity"
"AVOCAROT",1468,"Avocarrot","Traffic generated by using mobile apps that use Avocarrot to generate ad traffic.","Web Services",1,1,0,"http://www.avocarrot.com/","sites"
"AVOIDR",1018,"Avoidr","Use of foursquare location-based technology with mobile app Avoidr to locate and avoid people","Web Services",1,1,0,"","sites"
"BABYLON",772,"Babylon","General browsing and interaction with the online translation website Babylon.com","Web Services",3,2,0,"","sites"
"BACKBLZE",498,"BackBlaze","An online backup tool that allows Windows and Mac OS X users to back up their data to an offsite data center.","File Transfer",3,3,0,"","sites"
"BADOO",1019,"badoo","General browsing, interaction, messaging, and posting on social networking site badoo.com","Social Networking",1,1,0,"","sites"
"BAIDU",1095,"Baidu","Using Baidu's search tools, viewing videos, viewing news, and using the maps tool.","Web Services",2,3,0,"","baidu"
"BAIDUHI",1096,"BaiduHi","Traffic generated by instant messaging with other users on BaiduHi.","Messaging",2,3,0,"","baidu"
"BAIDUYUN",1445,"Baidu Yun","Cloud data storage operations and P2P sharing via the Baidu Yun desktop and mobile applications.","File Transfer",3,3,0,"","baidu"
"BARNSNBL",635,"Barnes&Noble","Barnes&Noble offers books, ebooks, DVDs, music, toys, and games","Web Services",3,1,0,"","sites"
"BATTLNET",360,"Battle.net","A premium gaming service provided by Blizzard Entertainment.","Games",1,3,0,"","blizzard,portmap"
"BAYDIN",1361,"Baydin Inc.","Traffic generated by browsing on Baydin Inc. website.","Web Services",4,2,0,"","sites"
"BAZAARVC",1167,"Bazaar Voice","Using online services which use Bazaar Voice to collect user data.","Web Services",3,1,0,"","sites"
"BBC",1211,"bbc.co.uk","The traffic is generated from browsing the website, news, watching BBC's programs, checking the different BBC channels and their TV guide.","Web Services",2,1,0,"","sites"
"BDEFNDER",544,"BitDefender","BitDefender Antivirus/Security software download and updates.","File Transfer",4,1,0,"","avsecurity"
"BEBO",533,"Bebo","A social networking website where users can post blogs, photographs, music, videos and questionnaires to which other users may answer.","Social Networking",1,4,0,"","sites"
"BEETPH",28,"BEETPH","BEETPH (Bound End-to-End Tunnel) is a new mode for IPsec ESP. The new mode augments the existing ESP tunnel and transport modes. For end-to-end tunnels, the new mode provides limited tunnel mode semantics without the regular tunnel mode overhead. The mode is intended to support new uses of ESP, including mobility and multi-address multi-homing.","VPN and Tunneling",3,1,0,"","ip"
"BET365",661,"Bet365","Online gambling website","Games",1,1,0,"","sites"
"BETCLICK",1239,"Betclic","Placing bets on online sports gambling website Betclic","Web Services",1,1,0,"","sites"
"BETTRNET",1475,"Betternet","VPN tunneling with Betternet desktop and mobile apps, as well as proxying traffic via Betternet's browser extensions.","VPN and Tunneling",1,3,0,"https://www.betternet.co/","betternet"
"BEWEB",1235,"Beweb","Traffic generated by browsing websites that use Beweb to generate ad traffic and gather analytics","Web Services",3,1,0,"","sites"
"BFTP",143,"BFTP","BFTP (Background File Transfer Program)","File Transfer",3,2,0,"","portmap"
"BGMP",211,"BGMP","Border Gateway Multicast Protocol","Networking",3,1,0,"","portmap"
"BGP",165,"BGP","BGP (Border Gateway Protocol) is the protocol backing the core routing decisions on the Internet.","Networking",3,1,0,"","portmap,routing"
"BH611",248,"BH611","Protocol for service type bh611 registered with IANA on Port 354 tcp/udp","Networking",3,1,0,"","portmap"
"BHEVENT",251,"BHEVENT","Protocol for service type bhevent registered with IANA on Port 357 tcp/udp","Networking",3,1,0,"","portmap"
"BHFHS",204,"BHFHS","Protocol for service type bhfhs registered with IANA on Port 248 tcp/udp","Networking",3,1,0,"","portmap"
"BHMDS",226,"BHMDS","Protocol for service type bhmds registered with IANA on Port 310 tcp/udp","Networking",3,1,0,"","portmap"
"BIGUPLOD",636,"BigUpload","Secure uploading, transferring, and file sharing service provider.","File Transfer",2,4,0,"","sites"
"BILDDE",701,"Bild.de","General browsing on German tabloid website Bild.de","Web Services",2,1,0,"","sites"
"BING",466,"Bing","Bing is Microsoft's Internet search engine.","Web Services",3,1,0,"","sites"
"BINGBOT",587,"Bingbot","Microsoft web-crawler for the Bing search engine","Web Services",3,1,0,"","sites"
"BITCASA",1425,"Bitcasa","Data sync traffic via Bitcasa's mobile and desktop applications for cloud storage.","File Transfer",3,3,0,"","sites"
"BITTORRE",430,"Bittorrent","A peer-to-peer file sharing protocol used for transferring large amounts of data.","File Transfer",1,5,0,"","bittorrent"
"BIZO",949,"bizo.com","Advertising traffic to and from bizo.com","Web Services",3,1,0,"","sites"
"BJNP",1090,"BJNP","Canon printers use this specific 'BJNP' protocol for document printing and network communication.","Networking",4,1,0,"","bjnp,portmap"
"BJNPDISC",1091,"BJNP Discovery","Discovering network devices with the BJNP protocol.","Networking",3,1,0,"","bjnp"
"BLACKBRD",1333,"Blackboard","Traffic consists of general browsing data generated by the Blackboard Online Course Management website.","Web Services",5,1,0,"","sites"
"BLAZEFS",373,"BlazeFS","Blaze File Server is a remote file sharing system designed specifically for Macs. Once it's running, Blaze is transparent to the user and to the client application: It appears as if users are accessing files on a local hard drive.","File Transfer",3,2,0,"","portmap"
"BLCKBAUD",1316,"Blackbaud","The traffic consists of data from browsing, login and logout of Blackbaud website.","Web Services",4,1,0,"","sites"
"BLCKJACK",349,"Blackjack","Protocol for service type Network Blackjack registered with IANA on Port 1025 tcp/udp","Networking",3,1,0,"","portmap"
"BLIDM",135,"BLIDM","Britton-Lee IDM (Integrated Database Manager)","Database",3,1,0,"","portmap"
"BLIZCLNT",363,"Blizzard client","Traffic generated when Blizzard game client is being updated.","Games",1,3,0,"","blizzard"
"BLIZDWNL",362,"Blizzard downloader","The Blizzard Downloader is a tool used to download Blizzard game clients.","Games",1,3,0,"","blizzard"
"BLIZSITE",364,"Blizzard.com website","General blizzard.com website traffic","Games",1,2,0,"","blizzard"
"BLIZZARD",361,"Blizzard Game Data","Traffic generated when downloading game data files from blizzard servers during installation/update of a game.","Games",1,3,0,"","blizzard"
"BLOGGER",534,"Blogger","A blog publishing service owned by Google, formerly known as BlogSpot.","Web Services",2,1,0,"","sites"
"BLOKUS",857,"Blokus","General browsing and game play of online board strategy game Blokus","Games",1,2,0,"","sites"
"BLOOMBRG",689,"Bloomberg","General browsing of business news and financial information site Bloomberg","Web Services",4,1,0,"","sites"
"BLUEKAI",818,"Bluekai","Traffic generated by browsing a website that hosts ads using Bluekai.","Web Services",1,1,0,"","sites"
"BLUELITH",1146,"BlueLithium","Online advertising traffic from Bluelithium","Web Services",3,1,0,"","sites"
"BNET",299,"BNet","Port 415/tcp and 415/udp","Networking",3,1,0,"","portmap"
"BNETAPP",366,"Battle.net Launcher","Traffic generated by the Battle.net desktop app.","Games",1,3,0,"","blizzard"
"BNETGAME",367,"Battle.net Game","A premium gaming service provided by Blizzard Entertainment.","Games",1,3,0,"","blizzard"
"BNETSITE",368,"Battle.net Website","General battle.net website traffic.","Games",1,2,0,"","blizzard"
"BNTFOCUS",1332,"Benefitfocus","Traffic consists of general browsing data generated by the Benefitfocus Online Benefits Enrollment website.","Web Services",5,1,0,"","sites"
"BOBIEDGE",1085,"BusinessObjects BI Edge","Connecting to a BusinessObjects or Crystal Enterprise server with a client such as a web browser.","Collaboration",5,2,0,"","sap"
"BONJOUR",1269,"Bonjour","Traffic generated with multicast Domain Name System (mDNS)","Networking",4,1,0,"","dns"
"BOOKING",998,"Booking.com","General browsing and interaction on online accommodation reservation site Booking.com","Web Services",3,1,0,"","sites"
"BOOMBECH",1471,"Boom Beach","Traffic generated by playing Boom Beach game on mobile devices.","Games",1,1,0,"http://boombeach.com/","games"
"BOOMERNG",1362,"Boomerang for Gmail","Traffic generated by using the Boomerang Gmail scheduler and reminder management tool.","Mail",4,2,0,"","sites"
"BOXCARIO",1014,"Boxcar.io","General web traffic for the boxcar.io website.","Social Networking",1,2,0,"","sites"
"BOXNET",709,"Box.net","General browsing and file transfers on file storage site Box.net","File Transfer",3,5,0,"","sites"
"BRCDN",826,"BRCDN","Traffic generated by browsing websites that use BRCDN to host media or ads.","Web Services",1,1,0,"","sites"
"BRGHTTLK",662,"Brighttalk","Online webinar and video provider","Web Services",3,2,0,"","sites"
"BRIGHTRL",951,"Bright Roll","General brightroll.com advertisement and web traffic.","Web Services",3,1,0,"","sites"
"BRILIG",900,"brilig","General advertisement traffic from brilig.com","Web Services",3,1,0,"","sites"
"BROSOFT",663,"Brothersoft.com","Brothersoft.com is a free software download website.","File Transfer",3,2,0,"","sites"
"BROWSEC",1470,"Browsec","VPN traffic generated via the Browsec browser extension and mobile apps.","VPN and Tunneling",1,3,0,"https://browsec.com/","browsec"
"BRSRVR",823,"BRSRVR","Traffic generated by browsing websites that use BRSRVR to host ads and other media content.","Web Services",1,1,0,"","sites"
"BSKYB",1216,"Sky Go","Traffic generated by streaming media using SkyGO account from pc","Streaming Media",2,3,0,"","sites"
"BVMEDIA",970,"BV! Media","General BV! Media advertisement traffic","Web Services",3,1,0,"","sites"
"C2DM",625,"C2DM","A service that provides a mechanism that servers can use to tell mobile applications to contact the server directly to fetch updated application or user data. It handles queueing of messages and delivery to target applications.","Messaging",3,2,0,"","google"
"C3METRIC",1285,"C3 Metrics","Traffic generated by browsing websites that use C3 Metrics to deliver advertisements.","Web Services",3,1,0,"","sites"
"CAILIC",190,"CAIlic","Computer Associates Int'l License Server","Networking",3,1,0,"","portmap"
"CAP",350,"CAP","Protocol for service type Calendar Access Protocol (CAP) registered with IANA on Port 1026 tcp/udp","Networking",3,1,0,"","portmap"
"CAPWAP",1359,"CAPWAP","Control And Provisioning of Wireless Access Points (CAPWAP) services. Specifically corresponds to CAPWAP-control and CAPWAP-data protocol registered with IANA on UDP ports 5246 and 5247, respectively","Networking",3,1,0,"","capwap"
"CARAYTEC",967,"Caraytech","General advertisement and web traffic from Caraytech","Web Services",3,1,0,"","sites"
"CARBONIT",1396,"Carbonite","Traffic generated by browsing carbonite.com, using backup feature via Carbonite's desktop and mobile apps.","Web Services",3,2,0,"http://www.carbonite.com/","sites"
"CASALE",901,"Casale","Advertising traffic to and from Casale Media.","Web Services",3,1,0,"","sites"
"CA_CERT",1094,"CA Certificate","Certification authority (CA) issues digital certificates which certifies the ownership of a public key for message encryption","Networking",3,1,0,"","sites"
"CBLPRTAX",219,"Cableport AX","Protocol for service type Cable Port A/X registered with IANA on Port 282 tcp/udp","Networking",3,1,0,"","portmap"
